text,vague,predicted_vague,Manual Annotation
"The Company gives preference to power from renewable sources and has developed a range of differentiated offerings for residential and business customers.
",generic,ambiguous,
"Process safety events can potentially impact the workforce, the community and the environment.
",ambiguous,notESG,
"To develop NIKE’s chemical prioritization strategy, we consider the health and environmental impacts of the individual chemicals as well as chemistry mixtures used to make our products.
",specific,ambiguous,
"We’re committed to making Uber safer for everyone using the platform .
",generic,notESG,
"These teams also serve a key role in keeping the organization informed relative to progress and roadblocks as they track and report metrics on a regular basis.
",generic,notESG,
"The Scope 1 2 greenhouse gas intensity is below the aver age intensity of their category for new oil and gas projects and reduced for brownfield projects, additional measures to con trol emissions will be needed since the emissions intensity of certain upstream projects increases over time as production declines.
",ambiguous,specific,
"Water is a priority for The Coca Cola Company because it is essential to life, our beverages and the communities we serve.
",specific,generic,
"In 2022, we remained a Best Place to Work by Disability:IN and the Human Rights Campaign based on our top scores earned in their equality and inclusion index reports.
",specific,notESG,
"In 2022, fairlife became our first ever of packages.
",generic,notESG,
"Nutrient use ef ciency is a great indicator that can help reduce environmental impact and maximize pro t.
",ambiguous,generic,
"In 2022, Pfizer’s Global Patient Advocacy Team engaged more than 1,800 global patient advocacy organizations across North America, Europe, Latin America, and Asia through trainings, workshops, and webinars focused on health policy issues, capacity building, patient centricity, and patient education and information.
",specific,notESG,
"Establishing baseline assessments across our globally owned and operated locations will not only aid in legal compliance with local EHS regulatory requirements, but also serve as NIKE’s foundational baseline and complement existing conformance assessments conducted in accordance with NIKE Code Leadership Standards and industry wide Social Labor Convergence Program (SLCP) assessments for certain participating facilities.
",specific,ambiguous,
"ExxonMobil celebrated the 50th anniversary of our focus on supplier diversity in 2021.
",specific,notESG,
"Promote compliance with applicable laws, regulations, internal policies, and best practices.
",generic,notESG,
"In 2021, E P's Bolivian affiliate helped improve and install additional catchment for the water system in the village of Caraparicito.
",notESG,specific,
"This report has been prepared in accordance with the Global Reporting Initiative (GRI) Standards.
",notESG,specific,
"In FY23, we plan to expand the survey to other Thailand facilities employing foreign migrant workers.
",notESG,ambiguous,
"The Company’s multi energy model allows it to provide tailored, integrated technical solu tions.
",ambiguous,notESG,
"Doubled recycled plastic production capacity in France.
",generic,specific,
"This is an ambitious scenario that limits global warming to 1.5 C through stringent climate policies and innovation, reaching Net Zero CO emissions around 2050.
",notESG,generic,
"Includes alignment with human rights due diligence principles in the UN Guiding Principles on Business and Human Rights.
",notESG,specific,
"The safety of our employees is a top priority in the decisions we make.
",generic,notESG,
"Everyone at ExxonMobil plays a role in reducing operational waste.
",notESG,generic,
"The Company and employees also provided Ukrainian dubbed screenings of Disney Animation’s Encanto and Raya and the Last Dragon, Disney and Pixar’s Luca, Ron’s Gone Wrong, and other titles for Ukrainian children and families through community nonprofits.
",ambiguous,notESG,
"Our workplace practices help us to make progress toward attracting, retaining, and developing a workforce that reflects the diverse life experiences of our audiences and guests.
",generic,notESG,
"This service includes compost accessibility to Converse teammates on every floor and the nearby Converse Concept Creation Center (C4) in Charlestown.
",specific,notESG,
"A teammate checks fire safety equipment at Shenzhou’s Worldon apparel factory in Vietnam.
",specific,notESG,
"It’s not about the next crop season, but about ve or ten years ahead.
",ambiguous,generic,
"That’s why, in 2022, we expanded our analysis and prioritization to include watersheds that support our priority ingredient sourcing, in addition to our operating facilities and those necessary for key market growth.
",ambiguous,specific,
"This change accounts for the 2019 variance when compared to previous years.
",ambiguous,notESG,
"ExxonMobil is committed to the prevention and elimination of spills from our operations.
",specific,notESG,
"The factors described below contributed to historical revisions of Scope 1 emissions data.
",ambiguous,specific,
"Goal owners have speci c ownership of the actions driving the steps needed to achieve the Leap Ambitions.
",generic,notESG,
"NGOs, external manufacturing partners and scientists, and based on an operated by the Company and its Franchisees that sell beef.
",generic,ambiguous,
"Water is a shared resource, and we know that the Company’s operations have an impact on local watershed conditions as well as on the health of our oceans.
",generic,ambiguous,
"Our focus on innovation and technology, combined with supportive government policies, can further accelerate large scale deployment of solutions essential to enabling modern life and lowering greenhouse gas emissions.
",ambiguous,generic,
"Couriers Thanks to our experience on the mobility side of the business, we have a headstart on vehicle emissions reduction and recognize that there are further opportunities for Uber’s delivery platform .
",generic,ambiguous,
"These emissions are broken out into Purchased Goods and Services, Business Travel and Employee Commuting.
",ambiguous,specific,
"Booking Holdings made corporate donations to the United Nations High Commissioner for Refugees (UNHCR) in support of their relief efforts to both the humanitarian crisis in Ukraine as well as the devastating floodings in Pakistan.
",notESG,specific,
"Pfizer set out to define patient centricity in 2022, working collaboratively with patient advocates to ensure our definition was inclusive of a diversity of experiences.
",ambiguous,notESG,
"ExxonMobil supports governments’ efforts to meet the SDGs.
",notESG,generic,
"This helps us build operational resilience across the value chain for a future where climate impacts will become more apparent.
",generic,ambiguous,
"We progressively adopt renewable electricity in locations where we have a large load and where marketplace solutions are available.
",ambiguous,specific,
"The Foundation’s Strategic Partners include some of the world’s largest and most influential organizations, with transformative potential to demonstrate what’s possible to accelerate the transition to a circular economy.
",ambiguous,generic,
"Our Advancing Climate Solutions 2023 Progress Report outlines our work toward a lower emission future.
",specific,generic,
"When this is done, the local standard of living improves and the causes of land degradation and deforestation, which are major sources of GHG emissions, recede.
",generic,ambiguous,
"As specified in its charter, the CRS G Committee reviews and provides guidance with respect to NIKE’s corporate Purpose, including corporate responsibility, sustainability, human rights, global community and social impact, and diversity, equity and inclusion.
",ambiguous,generic,
"Transparent processes and systems to help ensure suppliers uphold standards on environmental, social, and ethical business practice issues.
",specific,ambiguous,
"The Committee assists our Board in overseeing the company’s environmental, social, legislative, regulatory and public policy matters, including progress against our science based emissions reduction target.
",specific,generic,
"NIKE offers a range of benefits to support the emotional, physical and financial well being of our teammates and their families.
",generic,notESG,
"Acquired 1,500 EV charge points in Singapore Established a joint venture with China Three Gorges Corp. to install 11,000 fast EV charge points in China.
",ambiguous,specific,
"With such positive results, we announced an expanded goal to hire an additional 500 qualified refugees over the next three years.
",notESG,specific,
"A commitment to support partner companies concerned by the site's conversion, representing the equivalent of 200 full time jobs.
",generic,notESG,
"Finally, we assess how chemicals are used, including the volumes, types of application and availability of safe alternatives, to help us set realistic targets for the future.
",specific,ambiguous,
"In cases where shifts in scope, methodology and or data quality have led to changes in previously reported performance results, we’ve restated historically reported results.
",notESG,ambiguous,
"This includes 4 Mt of emissions from CCGT power plants following the implementation of the Com pany’s new strategy in electricity to have flexible generation capacity the decline for operated oil gas activities actually came to 30%.
",ambiguous,specific,
"We continue to progress toward net zero emissions globally by 2050, transforming our business to be more resilient.
",specific,ambiguous,
"This metric is part of Management’s Assertion on select sustainability metrics, which PwC has performed limited assurance over for the period from June 1, 2021, to May 31, 2022, as indicated in the Report of Independent Accountants.
",generic,notESG,
"Ipieca, the global oil and gas association for advancing environmental and social performance across the energy transition, defines important topics as those that, in the view of management and external stakeholders, have the potential to significantly affect ESG performance and stakeholder awareness, assessments or decisions.
",ambiguous,generic,
"Median earnings for hourly employees is based on total earnings for total hours paid and includes the impact of overtime, shift premiums, and gratuities.
",specific,notESG,
"As a leading provider of online travel and related services, we recognize that the travel and tourism industry in general and our work across the industry through our brands may impact human rights.
",generic,ambiguous,
"Our participation helps us understand and implement measures to do our part in preventing human rights violations linked to sport and major events.
",notESG,ambiguous,
"Our cross functional Sustainability Steering Committee, chaired by our Chief Sustainability Officer, advises on key issues and guides the integration and implementation of Pfizer’s non financial reporting related to ESG. This Committee is overseen by a dedicated Executive Sustainability Committee, chaired by the Executive Leadership Team member leading Corporate Affairs, who reports directly to the Chairman and CEO.
",ambiguous,specific,
"Those risk assessments are regularly updated for all of our sites.
",notESG,ambiguous,
"In fiscal 2022, more than 140 million ( 60%) of our charitable giving was directed to programs that support Asian American and Pacific Islander, Black and African American, Hispanic and Latino, Native American and Indigenous, and multicultural communities, as well as women, veterans, People with Disabilities, and LGBTQIA individuals.4 Through impactful collabor ations and strategic community investments, we are helping to advance authentic representation in media and entertainment (e.g., the Pillars Muslim Artist Database) drive economic opportunity, access, and equity in the business communities in which we operate (e.g., Out Equal, RespectAbility) create inclusive and respectful entertainment experiences (e.g., sensory accessible movie screenings with Exceptional Minds) and empower future generations of storytellers and innovators (e.g., Ghetto Film School, Hispanic Scholarship Fund, Asian Pacific Islander American Scholars, American Indian College Fund).
",specific,notESG,
"The figure for 2021 (77) is an improvement over 2020 and very close to our all time low.
",ambiguous,notESG,
"The inclusion of information in this report should not be construed as a characterization regarding the materiality or nancial impact of that information.
",ambiguous,notESG,
"Emissions data is calculated using primary activity data, extrapolated consumption, and publicly available CO2e emissions factors.
",specific,ambiguous,
"National Content Guidelines, Strategies and Best Practices: This document contains the key elements of a national content strategy and plan, models and tools for the successful development of national content and roles and responsibilities at the corporate, country and project levels.
",generic,notESG,
"McDonald’s China has digitalized tiered food safety learning and conducted annual certification with all company employees (including office staff) for the past eight years.
",specific,notESG,
"The employment level for women in the US fell 18 percentage points between February and April 2020, dropping 3 .7 percentage points more than the employment level of their male counterparts .
",specific,notESG,
"These efforts are aimed at creating sustainable solutions and making a positive impact on food security worldwide.
",notESG,generic,
"The debate over climate and energy sometimes inspires contradictory demands.
",ambiguous,notESG,
"In fiscal 2022, our disaster relief support included Hurricane Ian recovery efforts, addressing the impacts of wildfires in Argentina, supporting children and families in Ukraine, and providing short term monetary assistance to employees experiencing hardships including those impacted by Hurricane Ian through the Employee Relief Fund.
",notESG,specific,
"Authority to pilot a certified skills training program for workers in the informal waste collection sector.
",ambiguous,notESG,
"While we have a mature compliance program, we are always focused on continuous improvement, by making compliance guidance more relevant, risk based, timely, easy to use, and employee focused.
",ambiguous,notESG,
"Product that is not eligible for Nike Refurbished still has a chance at a second life too, as we partner with donation consolidators, such as Good360, to donate gently worn footwear to local communities in need.
",specific,notESG,
"Our cross functional Sustainability Steering Committee, chaired by our Chief Sustainability Officer, advises on key issues and guides the integration and implementation of Pfizer’s non financial reporting related to ESG. This Committee is overseen by a chartered Executive Sustainability Committee, chaired by the Executive Leadership Team member leading Corporate Affairs, who reports directly to the Chairman and CEO.
",generic,specific,
"Our strategy for reaching this goal is focused on minimizing waste generation, increasing reuse and recycling, and recovering energy from waste that can’t be prevented, reused or recycled at this time.
",specific,ambiguous,
"With the return to workplace at our headquarters (HQs) around the world, we were challenged to reintroduce and strengthen sustainable behaviors.
",generic,ambiguous,
"One key to innovating our Happy Meal is finding ways to make items with simpler ingredients.
",generic,notESG,
"To attract and retain representative talent at the executive level, we invest in talent development programs like the Black Talent Network, which launched in 2020.
",specific,notESG,
"Examples of this include transition to renewable energy, use of alternative fuels, and energy efficiency through new equipment and processes, such as HFC free equipment, as well as through reducing the environmental footprint of buildings and facilities across their life cycles.
",generic,ambiguous,
"Monitoring the science and health standards related to air quality.
",ambiguous,notESG,
