text,gpt_responses,scope3,vague,file_name
"Materials used in Product In FY22, NIKE used Higg MSI version 3.5 as the raw process data source and mapped Higg processes to NIKE material attributes to calculate impacts on a per kilogram basis, specific to a Nike material.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_NKE_2022_results.csv
"In total, McDonald’s, our Franchisees and customers donated over 182 million to RMHC in 2022, helping the charity provide more than 2.2 million overnight stays for RMHC families around the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Speci cally, this document may contain statements regarding the perspectives, objectives, areas for improvement and goals of TotalEnergies, including with respect to climate change and carbon neutrality (net zero emissions).
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_TTE_2022_results.csv
"The Audit Committee is also monitoring potential mandatory sustainability reporting under consideration by regulators.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_PFE_2022_results.csv
"The ITI, which since 2009 has been a program of the independent nonprofit The Task Force for Global Health, manages Pfizer’s donated antibiotic and collaborates with governments and partners to implement the World Health Organization’s (WHO) recommended strategy to prevent, treat, and ultimately eliminate trachoma as a public health problem.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"In 2021, we made good on that promise, launching the Industry Sharing Safety Program .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"In June 2020, TotalEnergies also reviewed its upstream assets that can be qualified as stranded , mean ing with reserves beyond 20 years and high production costs, whose overall reserves may therefore not be produced by 2050.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_TTE_2022_results.csv
"The European Union’s Fit for 55 objective of a 55% decrease between 1990 and 2030 corresponds to a 37% decrease between 2015 and 20308.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Shared value Prevent and fight conflicts of interest and corruption in procurement.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Implementation of a biodiversity action plan for all environmentally significant sites.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Yet, the world was also met with the horror of war, extreme weather events and continued macroeconomic headwinds.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"It is a cumulative success rate derived using individual phase success rates from FIH (start of Phase 1) to approval (first regulatory approval) at an NME level.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Upon graduation, participants receive a federally recognized degree in gastronomy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"This combined target has been approved by the Science Based Targets initiative (SBTi).
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"We recognize that managing our own FPW is just one side of the equation, and we seek to help consumers responsibly manage the product they are no longer using through consumer product takeback programs (i.e., Reuse A Shoe and Recycle and Donation).
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_NKE_2022_results.csv
"Additionally, in our learning experience platform, Compass, pilots for Data and Analytics and Embedded Software were initiated.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"The NZE Scenario requires more than 1000 GW of new solar and wind capacity to be deployed each year between 2020 and 2030, which is four times as much as the 250 GW added in 2020.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Pfizer’s investigational oral GLP 1receptor agonists are designed to address what we understand to be key drivers of these diseases and are showing best in class potential.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Some historical performance data were updated to reflect the best available information at the time of this report.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_XOM_2022_results.csv
"India Driver Safety program focused on reducing the risk associated with driving in the region.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"They will be rolled out in collaboration with the local communities and monitored by an independent institution.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"NIKE’s new partnership and program in Seoul is a good example of this.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"Reusable packaging can reduce single use packaging waste.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"However, for the system wide GHG results reported, these emissions sources are included.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"Uber is proud to serve as a sustainability partner for our clients worldwide .
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_UBER_2022_results.csv
"Early Leadership Acceleration Program In Latin America, we have focused on continuing to develop early talent via our Early Leadership Acceleration Program.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"This means we will partner to build water resilience across operations and supply chains, and we will work together to achieve collective positive water impact in at least 100 vulnerable water basins by 2030.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"In addition to our GHIG initiative, the Infectious Disease Grants program, launched in 2019, focuses on improving child health and prevention and treatment of infectious diseases.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_PFE_2022_results.csv
"We have made significant progress toward our leather target since last year’s report but are still tracking behind our goal for rubber.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"These courses, developed in partnership with the University of Michigan and the University of North Carolina, are designed to help our supervisors and managers fully embrace We Are ExxonMobil, connect it with our strategic priorities and unlock the full potential of our workforce.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_XOM_2022_results.csv
"In Sweden, we are collaborating with Reitan enabling a circular economy for our packaging plastic bottles or in fountain dispensers with.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"The Financial Services segment is assessed an annual pretax cost of approximately 13% of the segment’s average equity.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"As of December 31, 2022, the net proceeds of approximately 1.24 billion from the March 2020 Sustainability Bond were fully allocated, funding a portion of the aggregate spend of 1.275 billion.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_PFE_2022_results.csv
"A forklift operator at a Far Eastern textile facility in Vietnam, which is now in scope as a Tier 2 materials supplier for our foundational labor, health, safety, and environmental expectations target.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_NKE_2022_results.csv
"Furthermore, we gather employee feedback through annual engagement and learning and development surveys.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"Our Scope 1 emissions continue to grow versus our FY15 baseline ( 43%) and year over year ( 9%) due to our expanding owned and operated facility portfolio combined with the limited availability of scalable, lower carbon alternatives to replace natural gas and other carbon intensive fuels.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"For example, we promote accessible workplaces and we strive to recruit, train, and integrate employees with disabilities in alignment with industry best practices.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv
"Former NIKE footwear designer Dr. D’Wayne Edwards reopened the school under its new name and established Pensole as a pipeline Historically Black College and University (HBCU) for career education and professional development in the product creation industry.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"At NIKE, we believe a world class responsible supply chain is grounded in standards that demonstrate respect for the environment, the people who make and move our product, and the principles of a healthy and safe workplace.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_NKE_2022_results.csv
"And the Company’s Personal Protective Equipment (PPE) Matrix is updated regularly, detailing appropriate PPE required for specific work tasks alongside helpful visuals.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"We are assessing trends in risk areas and the impact on the tourism and travel sector to evaluate the level of resilience.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NASDAQ_BKNG_2022_results.csv
"Around the world, we provided thousands of employees with coach trainings as well as virtual and in person volunteer opportunities to put their learnings into practice with community partner organizations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Peers Utilities: Enel, Iberdrola, Engie, RWE, NextEra.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Pfizer participates in the Pharmaceutical Product Stewardship Work Group (PPSWG) in the United States and MEDSdisposal in Europe to help enable proper disposal of unused medicines.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"We are proud to have worked with partners to develop impactful programs and initiatives, including those highlighted below .
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_UBER_2022_results.csv
"From May 24 to July 4, 2021, we offered free rides (up to 25 each) for every leg of the trip to help people get to and from their first 2 vaccinations .
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"The aim is to develop a scalable tool that can be deployed in other countries.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_NKE_2022_results.csv
"Ulti mately, 400 young people will receive training each year.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"For that reason, the NIKE Athlete Experience (NAX) function exists to obsess the end to end experience for our retail Firstline teammates.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Wirtgen and the other German brands of the company have employed 340 trainees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"In 2022, we made Foundations of Inclusive Leadership training a mandatory program for all executive leaders across the enterprise.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NASDAQ_BKNG_2022_results.csv
"The data published in this document is extracted from the most recent survey, carried out in December 2021 and January 2022 134 companies in 54 countries, representing 91.7 % of the consolidated Company workforce (92,852 employees) responded to all the topics.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"The way we manage land and habitats, and their effect on biodiversity, is critical to the communities in which we operate.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_XOM_2022_results.csv
"In 2022, we avoided around half a million metric tons of virgin derived from non renewable plastic usage through our efforts on lightweighting and use of sources by a cumulative 3 million metric tons from 2020 20253 recycled content, with an incremental avoidance of over 50,000 metric tons since last year.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"Renewable sources refer to material that is composed of biomass from a living source and that can be continually replenished.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Additionally, NIKE continued driving positive change in the logistics industry with our Supply Chain Sustainability Index (SCSI), an evaluative framework that sets clear and consistent sustainability expectations for NIKE logistics service providers.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_NKE_2022_results.csv
"They take into account the draft delegated act on the activities related to natural gas.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Emissions associated with the transportation of employees between their homes and work locations.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_NKE_2022_results.csv
"Peer reviewed methodologies were used to calculate volumetric benefits per project and operating unit for all externally assured data one exception was approved for internally validated and verified data.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"Throughout 2022 and looking forward, we have continued to focus on the right to health as our most salient issue, with availability, accessibility, and affordability as key focus areas.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_PFE_2022_results.csv
"Including service stations, B2B sites and government concessions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"More information on product safety, including product standards, safe handling and strategic relationships can be found on our website.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_XOM_2022_results.csv
"NIKE developed the EWB Survey, a comprehensive and anonymous tool that helps capture the voice of workers across several experience categories.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Each year we choose 10 up and coming designers of diverse backgrounds and perspectives, with the mission of seeding a new era in design and expanding sport for a new generation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"We encourage feedback and reporting, even though this increases the total number of safety reports we receive and need to manage, because it shows us the reality of our users’ experiences and helps us improve our safety processes and policies .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"My early life challenges provided me the foundation and determination to fulfill my education goals.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"As you read this report, we hope you share our excitement about the progress we made this past year and the many opportunities ahead to deliver meaningful impact from our efforts.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv
"Square footage of retail and non HQ offices per country is used, leveraging actual FY22 square footage data, along with electricity intensity (kWh per square foot of known FY22 NIKE electricity usage in retail or non HQ offices).
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"Those ESG Scorecard KPIs, listed below, were factors in determining the funding of our annual short term incentive plan (Global Performance Plan GPP program) for over 30,000 global col leagues and leaders.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_PFE_2022_results.csv
"Our Operations Integrity Management System (OIMS) serves as the foundation for managing process safety risks, establishing clear expectations.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_XOM_2022_results.csv
"Because water is fully integrated in its strategy, TotalEnergies joined the UN Global Compact's CEO Water Mandate in 2022.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Our quality performance is actively monitored through an integrated management system to identify and mitigate risks.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_PFE_2022_results.csv
