text,llm_responses,scope3,vague
"e chier est un document d’ex cution cr sur Illustrator version CS6.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"TotalEnergies places sustainable development in all its dimensions at the heart of its strategy, projects and operations to contribute to people’s well being and aims to be a benchmark for endorsement of the United Nations’ Sustainable Development Goals.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To that end, TotalEnergies leverages the principles of action at the core of its responsible business model and its Code of Conduct, which applies to all of the Company’s operations around the world: Safety is a TotalEnergies value.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Safety, operational excellence and sustainable development go hand in hand.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Respect for each other is another TotalEnergies value and respect for human rights is a cor nerstone of its Code of Conduct.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Zero Tolerance is the rule in the ght against corruption and fraud.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Transparency is the rule in engagement with society, whatever the subject.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"TotalEnergies’ commitment to the Sustainable Development Goals has four dimensions addressed by this report: Climate and sustainable energy, People’s well being, Care for the environment and Creating shared value.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"TotalEnergies creates and drives positive change for communities in its host territories and, more broadly, for its employees, suppliers, customers, partners, states and civil society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"TotalEnergies, a member of the UN Global Compact, supporting the Sustainable Development Goals since 2016  participant, as in 2020, 2019 and 2018.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In September 2021, TotalEnergies responded to the UN Energy initiative by establishing an Energy Compact in which we announce the concrete measures we are going to implement to promote access to clean and affordable energy for all by 2030 (SDG7).
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We estimate that, of the 100 GW of renewable electricity we will install by 2030, some 33 GW will be located in emerging or developing countries, providing sustainable energy to around 40 million people, some of whom will never have had decent access to energy.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2021 2022, we are deploying a participatory approach to SDG training for all the Company’s employees, in order to involve them in the establishment of a sustainable development barometer that TotalEnergies will publish as of 2023.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Awarded a 1.5 GW offshore concession with GIG in the U.K.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a 23% interest in Yunlin, a 640 MW offshore project under construction in Taiwan.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a 20% interest in Adani Green Energy Limited.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Formed a joint venture with Hanwha to develop 1.6 GW of storage capacity in the United States.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a pipeline of 2.2 GW of solar projects and 600 MW of storage projects in the United States.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Started up production at the Yunlin offshore wind farm in Taiwan.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Formed partnerships with Simply Blue Group to develop floating offshore wind power in the United States.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Commissioned France’s largest battery storage site in Dunkirk.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed agreement with Siemens Energy to reduce LNG emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Signed a technological agreement with Technip Energies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Obtained new licenses to develop low carbon natural gas projects concerning low carbon LNG in Oman.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Signed an agreement to collect and process gas for power generation in Iraq y t i c i r t c e l s a i s d u q i l l s e u c e o m w e.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Transparency: Published all of the studies on the social and environmental challenges of the Tilenga and EACOP projects in Uganda and Tanzania.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Co invested with Air Liquide and Vinci in a 1.5bn fund.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Broke ground on the first renewable natural gas unit with renewable gas fuels in France focused on low carbon H2 infrastructure.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Signed an agreement with Engie for the Masshylia green hydrogen project at the La M de biorefinery in France.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Became the leading retailer of E85 in France (800 service stations).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Invested in a project to plant 40,000 hectares of forest to capture more than 10 Mt of CO2 over 20 years in the Republic of the Congo.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Obtained an LNG bunker supplier license in Singapore.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed an agreement with MSC to supply LNG to its future cruise ships.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Signed an R D agreement on zero carbon shipping with the Maersk Mc Kinney M ller Center i s e g r e n y t i l i b o m r o f new EV charge points in Amsterdam.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Acquired a 20% interest in Hysetco, operator of an H2 taxi fleet in Paris.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Completed the first long haul flight powered by sustainable aviation fuel in partnership with Air France KLM, ADP and Airbus.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
