text,gpt_responses,scope3,vague
"In 2022, the enduring resilience of the travel industry helped usher its recovery and we were again reminded of the power of travel as a unifying force, as moments of reunion and celebration took place all over the globe.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Yet, the world was also met with the horror of war, extreme weather events and continued macroeconomic headwinds.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The changes and challenges were reminders of just how deeply interconnected our world is.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Only by coming together as an industry, as communities and as colleagues, and by coordinating across governments, corporations and individuals can we achieve progress.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The importance of the travel industry as a powerful global economic driver cannot be viewed separately from our responsibility to ensure there is a world worth experiencing for future generations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sustainability is not only intertwined with the long term viability of our industry, it is foundational to our business today and every day, so we remain focused on making strides to push sustainable transformation in the travel industry.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At Booking Holdings, we strive to lead in our sector as we participate in the net zero transition, and we have long known that this begins with our own actions, operations and culture.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re proud to have maintained carbon neutral operations in 2022 as we transition to 100% renewable electricity across our offices, supported in part by the purchase of unbundled energy attribute certificates.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We have reduced Scope 1 and 2 emissions by 80% and reduced our Scope 3 emissions by 31%, each against our 2019 baseline emissions, tracking steadily towards our 2040 commitments of net zero, which is 10 years ahead of the Paris Agreement.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Throughout the year we continued to see the power and potential of technology to make it easier for travelers to make more sustainable choices come to life.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Delivering on a commitment laid out in our Climate Action Plan, in November 2022 we expanded our Booking.com Travel Sustainable program across all Booking Holdings brands for accommodations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The program recognized more than 400,000 properties globally as of December 31, 2022, providing customers with a transparent, simple way to identify properties making efforts to become more sustainable, no matter where in the world they travel.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"At the same time, we continually look for ways to offer more sustainable options for transportation across our brands.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"KAYAK’s Less CO2 sorter allows travelers to sort their flight search by CO2 emissions, and filters for electric and hybrid rental cars are now live across Booking.com, KAYAK and Priceline, with further innovation to come in 2023.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As a company, we have sought to extend our culture of sustainability by deepening community engagement, including through corporate donations and thousands of volunteer hours across myriad humanitarian aid efforts throughout the year.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In collaboration with thousands of our accommodation partners, we also helped over 70,000 Ukrainian refugees find free or low cost housing in the wake of war, and I’m immensely proud of the support and humanity shown by our partners and employees in the face of violence and uncertainty.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our holistic approach to sustainability through shared value creation has also seen us drive forward the development of more diverse and inclusive products and processes.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We now recognize over 16,000 properties for their inclusive hospitality efforts with a Travel Proud badge on Booking.com.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In addition, we have taken meaningful steps toward creating a more inclusive workplace through education, collaboration and allyship.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Our brands grew their employee resource groups, and we also expanded training programs for inclusive leadership and other diversity, inclusion and belonging (DI B) topics, all to improve the employee experience of inclusion and belonging.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022 we continued to embed compliance and ethics into our organization, including having our first annual Global Ethics Week with all of our brands, and the publication of our Human Rights Statement.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At Booking Holdings, we are working to further accelerate our sustainability efforts, but we also understand that we cannot bring about the necessary change alone.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We look to our customers, partners, governments and travel industry peers for continued collaboration to build toward a more sustainable future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Throughout 2022, we saw our belief that travel is a powerful force for good translated into action.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Travel holds the power to connect people and cultures, reduce barriers and increase understanding of the world we live in, while creating tremendous economic opportunity.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This report outlines the key actions we have taken to demonstrate our dedication to ensuring that it remains such a force, and we look forward to further deepening our commitment to a more sustainable future, each and every day.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Sustainability is not only intertwined with the long term viability of our industry, it is foundational to our business today and every day, so we remain focused on making strides to push sustainable transformation in the travel industry.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Travel Sustainable program for accommodations live on Booking.com, Agoda, KAYAK and Priceline.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More than 400,000 travel provider partners have met the criteria to be awarded the Travel Sustainable badge.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Established a target that over 50% of our 2027 bookings will be made on more sustainable options.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Made it easier for travelers to find more sustainable information across rides, cars and flights.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have included emissions information when booking a flight, expanded our rides capabilities to include electric taxis and included a new search filter for electric and hybrid rental vehicles on Booking.com.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Priceline saw a 5.5x increase in electric vehicle (EV) rentals as we continue to work with our supply partners to make renting an EV more accessible to our customers.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Hotel sustainability trainings with Global Sustainable Tourism Council (GSTC) held by Agoda in Singapore and Taiwan.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"KAYAK expanded its flights Less CO2 sorter to all of its markets.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
