text,decoder_model_output,manual_annotation
"To develop NIKE’s chemical prioritization strategy, we consider the health and environmental impacts of the individual chemicals as well as chemistry mixtures used to make our products.",ambiguous,specific
"Water is a priority for The Coca Cola Company because it is essential to life, our beverages and the communities we serve.",generic,specific
"In 2022, we remained a Best Place to Work by Disability:IN and the Human Rights Campaign based on our top scores earned in their equality and inclusion index reports.",notESG,specific
"In 2022, Pfizer’s Global Patient Advocacy Team engaged more than 1,800 global patient advocacy organizations across North America, Europe, Latin America, and Asia through trainings, workshops, and webinars focused on health policy issues, capacity building, patient centricity, and patient education and information.",notESG,specific
"Establishing baseline assessments across our globally owned and operated locations will not only aid in legal compliance with local EHS regulatory requirements, but also serve as NIKE’s foundational baseline and complement existing conformance assessments conducted in accordance with NIKE Code Leadership Standards and industry wide Social Labor Convergence Program (SLCP) assessments for certain participating facilities.",ambiguous,specific
ExxonMobil celebrated the 50th anniversary of our focus on supplier diversity in 2021.,notESG,specific
This service includes compost accessibility to Converse teammates on every floor and the nearby Converse Concept Creation Center (C4) in Charlestown.,notESG,notESG
A teammate checks fire safety equipment at Shenzhou’s Worldon apparel factory in Vietnam.,notESG,notESG
ExxonMobil is committed to the prevention and elimination of spills from our operations.,notESG,specific
Our Advancing Climate Solutions 2023 Progress Report outlines our work toward a lower emission future.,generic,generic
"Transparent processes and systems to help ensure suppliers uphold standards on environmental, social, and ethical business practice issues.",ambiguous,ambiguous
"The Committee assists our Board in overseeing the company’s environmental, social, legislative, regulatory and public policy matters, including progress against our science based emissions reduction target.",generic,generic
"Finally, we assess how chemicals are used, including the volumes, types of application and availability of safe alternatives, to help us set realistic targets for the future.",ambiguous,specific
"We continue to progress toward net zero emissions globally by 2050, transforming our business to be more resilient.",ambiguous,ambiguous
"Median earnings for hourly employees is based on total earnings for total hours paid and includes the impact of overtime, shift premiums, and gratuities.",notESG,notESG
