sentence,gpt4_annotation,predicted_annotation
"Progress: We are partnering in the collection of antibiotic use data associated with global beef and dairy industries, leveraging independent third party parties to facilitate data aggregation.
",yes,no
"The Company’s goal is to provide its customers with storage capacity of more than 10 Mt CO2 year by 2030, with the ambi tion of lifting capacity to more than 50 Mt CO2 year by 2050.
",yes,no
"Transparent processes and systems to help ensure suppliers uphold standards on environmental, social, and ethical business practice issues.
",yes,no
"Acquired 1,500 EV charge points in Singapore Established a joint venture with China Three Gorges Corp. to install 11,000 fast EV charge points in China.
",yes,no
"We choose third parties based, in part, on the level of transparency of their processes and their ability to help us achieve our sustainability goals.
",yes,no
"To encourage more sustainable fuel use in thermal processing of materials, NIKE joined seven other brands in our industry with the Apparel Impact Institute to explore options for coal elimination across the industry.
",yes,no
"Product that is not eligible for Nike Refurbished still has a chance at a second life too, as we partner with donation consolidators, such as Good360, to donate gently worn footwear to local communities in need.
",yes,no
"It will allow industrial emitters in Norway and elsewhere in Europe to store their emissions.
",yes,no
"We are on track to meet our goal of achieving the industry published targets (Predicted No Effect Concentrations) for antibiotics by 2025 and are piloting innovative wastewater management and treatment practices at several sites, including manufacturing and supplier sites, to advance our management of wastewater discharges.
",yes,no
"Smallholder farmers play an essential role in our supply chain.
",yes,no
"Globally, we face a critical lack of scaled, in market recycling technologies and quality operators located near our manufacturing locations that can process the full range of waste materials our product supply chain generates into usable feedstock for new products.
",yes,no
"We have worked with material and chemical suppliers to trial DMFa alternatives, and are impressed by the amount of innovation in this space.
",yes,no
"In addition, we are including our priority sourcing regions as part of our water replenishment programs.
",yes,no
"This has resulted in the ability to leverage direct measurements of energy consumption in textile manufacturing operations (e.g., knitting, weaving, leather tanning and non woven manufacturing) rather than solely relying on estimated data using general lifecycle assessment (LCA) emission factors.
",yes,no
"Franchisees, but extrapolates where it does not have access to the underlying data globally.
",yes,no
"Rides: Rides in electric taxis or public transportation.
",yes,no
"In 2021, we surpassed 5.5 billion in annual spending with local suppliers in select countries, and with diverse suppliers and small businesses globally.
",yes,no
"Tier 1 focus factory data is self reported by factories and may be incomplete.
",yes,no
"We spent 2.4 billion of the 5.5 billion in the U.S. with businesses owned by minorities, women, lesbian, gay, bisexual and transgender individuals, veterans, service disabled veterans, people with disabilities and small businesses.
",yes,no
"NIKE’s products are finished consumer goods and do not undergo any additional processing once sold.
",yes,no
"When the time has come to say goodbye to a pair of Nike Refurbished shoes, customers can do their part to help keep them out of landfills by choosing to donate or responsibly recycle them through our takeback programs.
",yes,no
"When new materials and manufacturing processes are introduced in our supply chain, it’s a priority for us to anticipate, recognize, evaluate and control potential workplace hazards that may arise and cause sickness or impaired health.
",yes,no
"We installed 10 GW of renewable electricity capacity, increased our LNG sales to 42 Mt (99% of which sold to net zero coun tries), reduced the share of our sales from petroleum prod ucts to 44% of the total from 65% in 2015, lowered emissions from our operated facilities (Scope 1 2) by 20% from 2015 and reduced the carbon footprint of our products sold in Europe by 14% compared to 2015.
",no,yes
"The use of John Deere Reman components in this process also drives emissions reductions.
",no,yes
"Couriers Thanks to our experience on the mobility side of the business, we have a headstart on vehicle emissions reduction and recognize that there are further opportunities for Uber’s delivery platform .
",no,yes
"This helps us build operational resilience across the value chain for a future where climate impacts will become more apparent.
",no,yes
"Examples of this include transition to renewable energy, use of alternative fuels, and energy efficiency through new equipment and processes, such as HFC free equipment, as well as through reducing the environmental footprint of buildings and facilities across their life cycles.
",no,yes
"In 2022, manufacturing supplier Shenzhou significantly grew their rooftop solar capacity in Vietnam.
",no,yes
"When product is no longer deemed sellable but still has a functional life or when unforeseen events impact our communities we work with consolidator nonprofit organizations like Good360, Soles4Souls, Good Sports and Delivering Good to help deliver product where it’s needed, in a responsible manner.
",no,yes
"As a result, suppliers have increased flexibility where they can, from adjusting transportation times to adapting childcare policies such as increased parental leave.
",no,yes
"Additionally, NIKE works with suppliers to scale key opportunities that are likely to have the greatest impact on their unique energy and carbon footprint.
",no,yes
"Our material suppliers, Air MI facilities and distribution centers who are being assessed for Foundational Expectations for the first time are just starting on their journey.
",no,yes
"Based on this, we recognize action is needed throughout our value chain to help address the complex threat of climate change.
",no,yes
"In total, more than 160 of our suppliers have set or committed to setting SBTi approved emissions targets.
",no,yes
"We are engaging with suppliers and educating both accommodation providers and customers on what sustainable travel means.
",no,yes
"This mapping, which we aim to complete by the end of 2025, will help determine how we engage with suppliers to drive continuous improvement.
",no,yes
"In the near term, NIKE intends to focus on cotton and polyester supply chains to reduce our dependence on higher impact versions of important fabrics.
",no,yes
"Engaging with our value chain and policies as a crtitical tool for achieving outcomes.
",no,yes
"In partnership with global suppliers and an external third party facilitator, we are in the process of concluding an extensive, two year commercial trials initiative to inform our KWIs target setting efforts and to study the impacts that certain production parameters such as breed and stocking density have on welfare, environmental and economic outcomes.
",no,yes
"At Pfizer’s logistics center in Memphis, Tennessee, we took steps to reduce the environmental impact of cold chain shipping operations.
",no,yes
"Although we had already communicated quality and safety expectations to suppliers, the updated Code formalized our expectations across our supply chains.
",no,yes
