text,llm_responses,scope3,vague
"Last year, my letter in Uber’s annual ESG Report reflected on the global impacts of the COVID 19 pandemic and our efforts to address the unique and unprecedented challenges the world faced .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As a society, we continue to face challenges, including the health, social, and economic implications from COVID humanitarian crises leaving millions in need and severe weather events that damage the places we call home .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These challenges endanger society and threaten the resources available on our planet .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Everyone needs to be able to move freely, and safely, and in a way that preserves the planet, its people, and its resources .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At Uber, we don’t just power movement our mission is to reimagine the way the world moves for the better .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We want to help people go anywhere and get anything .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We want you to move and earn freely, make the most of your time, and be connected to the people and places that matter most to you .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re committed to safety and developing technology that aims to reduce incidents .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re committed to sustaining equity and belonging for all .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re committed to reducing the impact our operations have on the environment .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We’re committed to you, and to the cities in which we serve because we believe that when you thrive, when people connecting on our platform thrive, and when cities thrive, Uber thrives .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Uber’s 2022 ESG Report reflects how we’ve embraced our values and our commitment to those who earn on, move on, or invest in our platform .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We prioritize transparency and recognize its mandate in our journey to deliver value for you .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Continued to advocate for the right to flexibility, fair benefits, and support for people who make money on the Uber platform.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Analyzed and quantified our risks and opportunities in key markets in support of the Task Force on Climate Related Financial Disclosures.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"On the pages that follow, you’ll see details about our progress on these initiatives, our mission and values, and other actions we’ve taken that are integral to our environmental, social, and governance goals .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our ESG strategy and reporting is built around the company’s material ESG issues .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For more information surrounding our material ESG issues, please view page 76 of this report .
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Working toward 100% rides in zero emission vehicles, on micromobility, or through public transit by 2040 globally.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"As of Q2, 2022, there are 26,000 average monthly active zero emission vehicle drivers across the Uber platform in Canada, Europe, and the US, serving 13 .3 million trips.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Report global Scope 1, 2, and 3 emissions, which have received limited assurance from Lloyd’s Register Quality Assurance.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
