text,llm_responses,scope3,vague
"Business Impact Report Databook This Databook contains our SASB, UN SDGs and GRI indices, our Leap Ambition and Sustainability data charts, and our TCFD report.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Supplemental Content This Supplemental Content includes additional evergreen sustainability content.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Operating Return on Sales (OROS), and Shareholder Value Added (SVA) are non GAAP (general accepted accounting principles) measures.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For reconciliations of OROS to the most directly comparable GAAP measure (net income attributable to Deere Company), and for more information on SVA and reconciliations of SVA, see page 10.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"John Deere had an outstanding year in 2023, delivering strong performance and making a signi cant positive impact on those we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In this inaugural Business Impact Report, we are proud to share the nancial and sustainable outcomes accomplished by John Deere this year.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This comprehensive report highlights our dedication to creating long term value for all stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our net income reached a notable 10.17 billion, surpassing the previous year’s 7.13 billion.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our net sales and revenues experienced a 16% increase, totaling 61.25 billion.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And our pro tability reached impressive levels, a signi cant milestone for two key reasons.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"First, this success was achieved despite ongoing in ationary pressures.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Second, it is critical in enabling us to continue investing in the next generation of solutions for our customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also generated signi cant cash ow which, in addition to investing in our business, we returned to shareholders through share repurchases of over 7 billion while simultaneously increasing the quarterly dividend by nearly 20%.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We made strategic investments that advanced our Smart Industrial Operating Model and reinforced the achievement of our Leap Ambitions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These ambitious goals focus on delivering exceptional nancial and sustainable outcomes for our customers and all stakeholders, creating lasting value while also making a meaningful difference throughout the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For instance, in our Ag Turf Division we launched a groundbreaking planting technology called ExactShot that reduces the amount of starter fertilizer needed during planting by more than 60%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also made our advanced camera detection and arti cial intelligence systems from our revolutionary See Spray platform available as a precision upgrade for previous generation sprayers, reducing herbicide use, lowering costs, and minimizing impact on crops and the land.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"And we extended our smarter spraying capabilities by acquiring Smart Apply, an intelligent spray control system that enhances the precision and performance of air blast sprayers used in orchards, vineyards, and tree nurseries.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Leap Ambitions focus on delivering exceptional nancial and sustainable outcomes for our customers and all stakeholders, creating lasting value while also making a meaningful difference throughout the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
